"STATION","NAME","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-12-26","0.05",,"37","44","33"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-12-27","0.00",,"41","48","34"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-12-28","0.00",,"39","45","35"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-12-29","0.20",,"48","57","38"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-12-30","0.20",,"50","55",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2009-12-31","0.42",,"42","49",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-01-01","0.01",,"34","37","32"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-01-02","0.00",,"34","38","30"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-01-03","0.00",,"33","40",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-01-04","0.00",,"26","33","21"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-01-05","0.00",,"28","33","25"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-01-06","0.00",,"27","29","26"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-01-07","0.02","1","27","30",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-01-08","0.03","1","25","29","22"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-01-09","0.00","3","29",,"26"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-01-10","0.00","1","31","32","30"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-01-11","0.00","0","32","34","31"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-01-12","0.00","0","32","34",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-01-13","0.05","2","34","40","29"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-01-14","0.02",,"39","43","36"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-01-15","0.00",,"38","41","33"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-01-16","0.00",,"40",,"37"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-01-17","0.38",,"46","50",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-01-18","0.00",,"40","45",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-01-19","0.00",,"35","40","34"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-01-20","0.00",,"37",,"32"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-01-21","0.28",,"41","45",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-01-22","0.00",,"42","48","38"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-01-23","0.00",,"40","45","38"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-01-24","0.06",,"41","44","38"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-01-25","0.02",,"40","46",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-01-26","0.00",,"31","41",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-01-27","0.00",,"30",,"24"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-01-28","0.00",,"41","44","34"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-01-29","0.02",,"40","45",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-01-30","0.23",,"35","41","31"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-01-31","0.00",,"35","40","30"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-02-01","0.00","0","36","41","32"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-02-02","0.04",,"40",,"34"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-02-03","0.06",,"48","51","44"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-02-04","0.01",,"45","49","40"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-02-05","0.44",,"47","54",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-02-06","0.08",,"44","48","41"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-02-07","0.16",,"41","45","38"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-02-08","0.00",,"38","40",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-02-09","0.00",,"31","38",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-02-10","0.00","0","29","38","26"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-02-11","0.05","0","28","31","25"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-02-12","0.00","0","28","34","25"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-02-13","0.00",,"28","30","26"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-02-14","0.00",,"32","37","28"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-02-15","0.00",,"33","38","29"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-02-16","0.00",,"32","39","26"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-02-17","0.00",,"37","41","31"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-02-18","0.00",,"41","51","35"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-02-19","0.03",,"41","47",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-02-20","0.00",,"37","42","34"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-02-21","0.06",,"41","47","35"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-02-22","0.02",,"49","58","42"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-02-23","0.15",,"51","58",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-02-24","0.04",,"48","55","43"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-02-25","0.25",,"49","54","47"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-02-26","0.15",,"47","53","43"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-02-27","0.09",,"47","56","40"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-02-28","0.43",,"47","56",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-03-01","0.06",,"44","53","36"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-03-02","0.14",,"46","54","41"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-03-03","0.00",,"43","50","38"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-03-04","0.00",,"41","47",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-03-05","0.00",,"37","44","31"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-03-06","0.00",,"39","45",
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-03-07","0.00",,"33","40","27"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-03-08","0.00",,"35","44","29"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-03-09","0.00",,"34","41","29"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-03-10","0.00",,"37","48","29"
"FR000007150","PARIS 14E PARC MONTSOURIS, FR","2010-03-11","0.00",,"36","44","30"
